[2024-04-02T14:06:48.937+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  3% 5.26M 12s
[2024-04-02T14:06:48.941+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  3% 29.0M 11s
[2024-04-02T14:06:48.941+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  3% 39.7M 11s
[2024-04-02T14:06:48.947+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  3% 12.3M 11s
[2024-04-02T14:06:48.948+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  3% 16.5M 10s
[2024-04-02T14:06:48.949+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  3% 19.9M 10s
[2024-04-02T14:06:48.952+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  4% 31.1M 10s
[2024-04-02T14:06:48.955+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  4% 12.5M 10s
[2024-04-02T14:06:48.962+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  4% 6.98M 9s
[2024-04-02T14:06:48.966+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  4% 12.3M 9s
[2024-04-02T14:06:48.967+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  4% 38.4M 9s
[2024-04-02T14:06:48.971+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  4% 12.7M 9s
[2024-04-02T14:06:48.973+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  4% 26.2M 9s
[2024-04-02T14:06:48.981+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  4% 6.29M 9s
[2024-04-02T14:06:48.984+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  5% 16.5M 8s
[2024-04-02T14:06:48.986+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  5%  176M 8s
[2024-04-02T14:06:48.987+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  5% 60.2M 8s
[2024-04-02T14:06:48.988+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  5% 13.6M 8s
[2024-04-02T14:06:48.991+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  5% 19.0M 8s
[2024-04-02T14:06:48.994+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  5% 14.7M 8s
[2024-04-02T14:06:49.003+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  5% 5.30M 7s
[2024-04-02T14:06:49.005+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  5%  343M 7s
[2024-04-02T14:06:49.006+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  6% 24.6M 7s
[2024-04-02T14:06:49.011+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  6% 9.24M 7s
[2024-04-02T14:06:49.013+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  6%  161M 7s
[2024-04-02T14:06:49.022+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  6% 9.14M 7s
[2024-04-02T14:06:49.024+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  6% 13.8M 7s
[2024-04-02T14:06:49.024+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  6% 39.1M 7s
[2024-04-02T14:06:49.025+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  6%  157M 7s
