[2024-03-26T08:23:09.403+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  2% 5.39M 27s
[2024-03-26T08:23:09.405+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  2% 23.6M 26s
[2024-03-26T08:23:09.406+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  2%  215M 25s
[2024-03-26T08:23:09.407+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  2% 28.9M 24s
[2024-03-26T08:23:09.410+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  2% 13.8M 24s
[2024-03-26T08:23:09.414+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  2% 13.5M 23s
[2024-03-26T08:23:09.422+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  3% 9.19M 22s
[2024-03-26T08:23:09.425+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  3% 8.55M 22s
[2024-03-26T08:23:09.430+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  3% 11.1M 21s
[2024-03-26T08:23:09.433+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  3% 14.5M 21s
[2024-03-26T08:23:09.455+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  3% 2.22M 21s
[2024-03-26T08:23:09.461+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  3% 7.16M 20s
[2024-03-26T08:23:09.463+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  3% 35.3M 20s
[2024-03-26T08:23:09.464+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  3% 39.6M 19s
[2024-03-26T08:23:09.465+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  3% 41.8M 19s
[2024-03-26T08:23:09.467+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  3% 28.2M 18s
[2024-03-26T08:23:09.470+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  4% 14.5M 18s
[2024-03-26T08:23:09.476+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  4% 11.9M 18s
[2024-03-26T08:23:09.480+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  4% 12.6M 17s
[2024-03-26T08:23:09.481+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  4% 43.5M 17s
[2024-03-26T08:23:09.482+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  4% 73.7M 17s
[2024-03-26T08:23:09.482+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  4%  147M 16s
[2024-03-26T08:23:09.483+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  4%  278M 16s
[2024-03-26T08:23:09.486+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  4% 9.72M 16s
[2024-03-26T08:23:09.488+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  4% 46.0M 15s
[2024-03-26T08:23:09.492+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  4% 10.2M 15s
[2024-03-26T08:23:09.493+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  5% 43.8M 15s
[2024-03-26T08:23:09.495+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  5% 30.0M 14s
[2024-03-26T08:23:09.495+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  5%  317M 14s
[2024-03-26T08:23:09.497+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  5% 14.6M 14s
[2024-03-26T08:23:09.500+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  5% 24.3M 14s
[2024-03-26T08:23:09.504+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  5% 12.1M 14s
[2024-03-26T08:23:09.507+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  5% 14.7M 13s
[2024-03-26T08:23:09.519+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  5% 4.07M 13s
[2024-03-26T08:23:09.521+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  5% 19.7M 13s
[2024-03-26T08:23:09.524+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  5% 21.8M 13s
[2024-03-26T08:23:09.539+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  6% 88.2M 13s
[2024-03-26T08:23:09.541+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  6% 4.69M 13s
[2024-03-26T08:23:09.543+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  6% 43.6M 12s
[2024-03-26T08:23:09.545+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  6% 16.0M 12s
[2024-03-26T08:23:09.546+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  6% 87.9M 12s
[2024-03-26T08:23:09.553+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  6% 80.5M 12s
[2024-03-26T08:23:09.555+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  6% 30.7M 12s
[2024-03-26T08:23:09.561+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  6% 40.5M 12s
[2024-03-26T08:23:09.563+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  6% 12.1M 11s
[2024-03-26T08:23:09.564+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  6% 95.8M 11s
[2024-03-26T08:23:09.572+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  7%  152M 11s
[2024-03-26T08:23:09.575+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  7% 41.1M 11s
