[2024-03-26T16:35:09.594+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  2% 19.1M 10s
[2024-03-26T16:35:09.622+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  2% 1.73M 11s
[2024-03-26T16:35:09.627+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  2% 15.5M 11s
[2024-03-26T16:35:09.635+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  2% 71.5M 10s
[2024-03-26T16:35:09.637+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  2% 37.3M 10s
[2024-03-26T16:35:09.639+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  2% 6.34M 10s
[2024-03-26T16:35:09.640+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  3%  172M 10s
[2024-03-26T16:35:09.643+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  3% 19.9M 9s
[2024-03-26T16:35:09.646+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  3% 13.3M 9s
[2024-03-26T16:35:09.647+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  3% 18.2M 9s
[2024-03-26T16:35:09.649+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  3% 24.0M 9s
[2024-03-26T16:35:09.651+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  3% 15.4M 9s
[2024-03-26T16:35:09.656+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  3% 16.8M 8s
[2024-03-26T16:35:09.658+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  3% 12.9M 8s
[2024-03-26T16:35:09.659+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  3% 23.1M 8s
[2024-03-26T16:35:09.664+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  3% 13.6M 8s
[2024-03-26T16:35:09.669+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  4% 10.2M 8s
[2024-03-26T16:35:09.673+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  4% 22.1M 8s
[2024-03-26T16:35:09.675+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  4% 12.7M 8s
[2024-03-26T16:35:09.677+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  4% 53.7M 8s
[2024-03-26T16:35:09.681+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  4% 11.8M 7s
[2024-03-26T16:35:09.685+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  4% 24.5M 7s
[2024-03-26T16:35:09.686+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  4% 15.1M 7s
[2024-03-26T16:35:09.688+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  4% 18.5M 7s
[2024-03-26T16:35:09.692+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  4% 16.3M 7s
[2024-03-26T16:35:09.696+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  4% 14.7M 7s
[2024-03-26T16:35:09.701+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  5% 18.5M 7s
[2024-03-26T16:35:09.702+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  5% 29.2M 7s
[2024-03-26T16:35:09.707+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  5% 14.6M 7s
[2024-03-26T16:35:09.709+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  5% 31.1M 7s
[2024-03-26T16:35:09.709+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  5% 17.4M 6s
[2024-03-26T16:35:09.716+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  5% 3.90M 7s
[2024-03-26T16:35:09.742+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  5% 10.2M 7s
[2024-03-26T16:35:09.747+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  5% 31.0M 6s
[2024-03-26T16:35:09.748+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  5% 24.4M 6s
[2024-03-26T16:35:09.752+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  5% 11.9M 6s
[2024-03-26T16:35:09.755+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  6% 6.77M 6s
[2024-03-26T16:35:09.767+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  6% 13.5M 6s
[2024-03-26T16:35:09.769+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  6% 15.7M 6s
[2024-03-26T16:35:09.769+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  6% 14.7M 6s
[2024-03-26T16:35:09.770+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  6% 90.1M 6s
[2024-03-26T16:35:09.771+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  6% 45.0M 6s
[2024-03-26T16:35:09.774+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  6% 96.1M 6s
[2024-03-26T16:35:09.777+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  6% 53.9M 6s
[2024-03-26T16:35:09.783+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  6% 2.05M 6s
[2024-03-26T16:35:09.792+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  6%  509M 6s
[2024-03-26T16:35:09.817+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  7%  599M 6s
[2024-03-26T16:35:09.837+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  7%  591M 6s
[2024-03-26T16:35:09.867+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  7%  498M 6s
[2024-03-26T16:35:09.888+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  7%  610M 6s
[2024-03-26T16:35:09.917+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  7%  420M 6s
[2024-03-26T16:35:09.921+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  7%  593M 5s
[2024-03-26T16:35:09.923+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... ..........  7%  542M 5s
[2024-03-26T16:35:09.929+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... ..........  7%  606M 5s
[2024-03-26T16:35:09.947+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... ..........  7%  599M 5s
