[2024-03-26T14:46:54.373+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  2%  213M 29s
[2024-03-26T14:46:54.374+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  2% 17.6M 28s
[2024-03-26T14:46:54.377+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  2% 28.2M 27s
[2024-03-26T14:46:54.378+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  2% 88.8M 26s
[2024-03-26T14:46:54.380+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  2% 4.14M 25s
[2024-03-26T14:46:54.392+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  2% 4.26M 25s
[2024-03-26T14:46:54.401+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  3% 5.51M 24s
[2024-03-26T14:46:54.404+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  3% 14.3M 24s
[2024-03-26T14:46:54.410+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  3% 8.41M 23s
[2024-03-26T14:46:54.420+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  3% 5.05M 23s
[2024-03-26T14:46:54.429+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  3% 5.14M 22s
[2024-03-26T14:46:54.440+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  3% 4.53M 22s
[2024-03-26T14:46:54.448+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  3% 5.69M 22s
[2024-03-26T14:46:54.452+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  3% 14.7M 21s
[2024-03-26T14:46:54.463+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  3% 16.5M 21s
[2024-03-26T14:46:54.467+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  3% 4.75M 20s
[2024-03-26T14:46:54.468+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  4% 68.7M 20s
[2024-03-26T14:46:54.471+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  4% 12.3M 19s
[2024-03-26T14:46:54.473+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  4% 15.0M 19s
[2024-03-26T14:46:54.477+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  4% 12.5M 19s
[2024-03-26T14:46:54.479+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  4% 53.8M 18s
[2024-03-26T14:46:54.490+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  4% 4.18M 18s
[2024-03-26T14:46:54.493+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  4% 60.2M 18s
[2024-03-26T14:46:54.493+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  4% 76.7M 17s
[2024-03-26T14:46:54.494+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  4% 68.4M 17s
[2024-03-26T14:46:54.495+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  4% 25.9M 17s
[2024-03-26T14:46:54.496+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  5% 19.3M 16s
[2024-03-26T14:46:54.499+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  5% 15.7M 16s
[2024-03-26T14:46:54.505+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  5% 10.9M 16s
[2024-03-26T14:46:54.511+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  5% 20.1M 15s
[2024-03-26T14:46:54.512+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  5% 9.25M 15s
[2024-03-26T14:46:54.512+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  5%  215M 15s
[2024-03-26T14:46:54.517+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  5% 9.03M 15s
[2024-03-26T14:46:54.557+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  5% 1.22M 15s
[2024-03-26T14:46:54.558+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  5%  236M 15s
[2024-03-26T14:46:54.559+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  5%  424M 15s
[2024-03-26T14:46:54.567+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  6% 5.29M 15s
[2024-03-26T14:46:54.577+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  6% 4.48M 14s
[2024-03-26T14:46:54.580+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  6%  422M 14s
[2024-03-26T14:46:54.581+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  6%  460M 14s
[2024-03-26T14:46:54.582+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  6% 41.1M 14s
[2024-03-26T14:46:54.583+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  6% 81.2M 14s
[2024-03-26T14:46:54.583+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  6% 14.3M 13s
[2024-03-26T14:46:54.585+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  6% 29.2M 13s
[2024-03-26T14:46:54.587+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  6% 48.9M 13s
[2024-03-26T14:46:54.593+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  6% 6.54M 13s
[2024-03-26T14:46:54.596+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  7% 17.7M 13s
[2024-03-26T14:46:54.599+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  7% 29.8M 13s
[2024-03-26T14:46:54.603+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  7% 43.6M 12s
[2024-03-26T14:46:54.604+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  7% 40.4M 12s
[2024-03-26T14:46:54.612+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  7%  144M 12s
[2024-03-26T14:46:54.618+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  7% 25.0M 12s
[2024-03-26T14:46:54.623+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... ..........  7% 47.1M 12s
[2024-03-26T14:46:54.626+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... ..........  7%  211M 12s
[2024-03-26T14:46:54.629+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... ..........  7% 35.9M 11s
[2024-03-26T14:46:54.639+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... ..........  7% 4.63M 11s
[2024-03-26T14:46:54.642+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... ..........  8% 11.9M 11s
[2024-03-26T14:46:54.646+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... ..........  8% 35.3M 11s
[2024-03-26T14:46:54.646+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... ..........  8% 49.0M 11s
[2024-03-26T14:46:54.647+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... ..........  8% 88.6M 11s
[2024-03-26T14:46:54.648+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... ..........  8%  356M 11s
[2024-03-26T14:46:54.662+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... ..........  8%  172M 11s
[2024-03-26T14:46:54.668+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... ..........  8%  418M 11s
[2024-03-26T14:46:54.700+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... ..........  8%  423M 10s
[2024-03-26T14:46:54.705+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... ..........  8%  352M 10s
[2024-03-26T14:46:54.707+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... ..........  8% 20.3M 10s
[2024-03-26T14:46:54.725+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... ..........  9% 13.9M 10s
[2024-03-26T14:46:54.734+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... ..........  9% 81.6M 10s
[2024-03-26T14:46:54.735+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... ..........  9% 4.56M 10s
[2024-03-26T14:46:54.740+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... ..........  9% 32.0M 10s
[2024-03-26T14:46:54.744+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... ..........  9% 36.6M 10s
[2024-03-26T14:46:54.746+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... ..........  9% 24.1M 10s
[2024-03-26T14:46:54.768+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... ..........  9%  216M 10s
[2024-03-26T14:46:54.769+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... ..........  9%  349M 9s
