[2024-03-26T15:33:18.795+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  2% 30.1M 23s
[2024-03-26T15:33:18.796+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  2% 72.0M 23s
[2024-03-26T15:33:18.801+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  2% 10.1M 22s
[2024-03-26T15:33:18.802+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  2%  309M 21s
[2024-03-26T15:33:18.803+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  2%  265M 20s
[2024-03-26T15:33:18.804+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  2% 15.5M 20s
[2024-03-26T15:33:18.808+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  3% 62.9M 19s
[2024-03-26T15:33:18.813+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  3% 21.0M 19s
[2024-03-26T15:33:18.819+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  3%  261M 18s
[2024-03-26T15:33:18.820+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  3% 65.5M 17s
[2024-03-26T15:33:18.822+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  3% 12.7M 17s
[2024-03-26T15:33:18.823+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  3%  119M 17s
[2024-03-26T15:33:18.823+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  3%  199M 16s
[2024-03-26T15:33:18.824+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  3% 19.7M 16s
[2024-03-26T15:33:18.825+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  3% 29.5M 15s
[2024-03-26T15:33:18.826+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  3% 26.7M 15s
[2024-03-26T15:33:18.829+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  4%  156M 15s
[2024-03-26T15:33:18.830+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  4% 56.3M 14s
[2024-03-26T15:33:18.831+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  4% 12.4M 14s
[2024-03-26T15:33:18.832+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  4% 57.5M 14s
[2024-03-26T15:33:18.835+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  4% 50.3M 13s
[2024-03-26T15:33:18.835+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  4%  115M 13s
[2024-03-26T15:33:18.836+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  4% 75.6M 13s
[2024-03-26T15:33:18.836+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  4% 24.0M 13s
[2024-03-26T15:33:18.837+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  4% 66.7M 12s
