[2024-03-29T11:42:24.591+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  3%  367M 28s
[2024-03-29T11:42:24.606+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  3%  425M 27s
[2024-03-29T11:42:24.622+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  3% 2.65M 26s
[2024-03-29T11:42:24.701+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  3%  229M 25s
[2024-03-29T11:42:24.728+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  3% 45.9M 24s
[2024-03-29T11:42:24.784+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  3% 6.27M 24s
[2024-03-29T11:42:24.835+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  4% 1.79M 23s
[2024-03-29T11:42:24.925+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  4%  297M 23s
[2024-03-29T11:42:24.950+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  4% 9.63M 22s
[2024-03-29T11:42:24.997+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  4% 3.21M 22s
[2024-03-29T11:42:25.003+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  4% 4.02M 21s
[2024-03-29T11:42:25.008+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  4% 3.78M 21s
[2024-03-29T11:42:25.011+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  4% 2.42M 21s
[2024-03-29T11:42:25.015+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  4% 2.60M 21s
[2024-03-29T11:42:25.020+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  5%  598M 20s
[2024-03-29T11:42:25.023+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  5% 2.32M 20s
[2024-03-29T11:42:25.035+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  5% 5.01M 20s
[2024-03-29T11:42:25.101+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  5% 12.6M 19s
[2024-03-29T11:42:25.140+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  5% 2.48M 19s
[2024-03-29T11:42:25.218+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  5% 3.89M 19s
[2024-03-29T11:42:25.223+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  5%  478M 18s
[2024-03-29T11:42:25.229+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  5% 1.30M 18s
[2024-03-29T11:42:25.240+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  6%  332M 18s
[2024-03-29T11:42:25.259+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  6%  464M 18s
[2024-03-29T11:42:25.290+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  6%  288M 17s
[2024-03-29T11:42:25.310+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  6% 1.10M 18s
[2024-03-29T11:42:25.322+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  6% 10.9M 17s
[2024-03-29T11:42:25.342+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  6% 2.72M 17s
[2024-03-29T11:42:25.349+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  6%  417M 17s
[2024-03-29T11:42:25.359+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  7% 15.2M 16s
[2024-03-29T11:42:25.369+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  7%  502M 16s
[2024-03-29T11:42:25.379+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  7% 1.54M 16s
[2024-03-29T11:42:25.382+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  7%  660K 17s
[2024-03-29T11:42:25.387+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  7%  383M 17s
[2024-03-29T11:42:25.389+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  7%  608M 16s
[2024-03-29T11:42:25.392+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  7%  711M 16s
[2024-03-29T11:42:25.395+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  7%  609M 16s
[2024-03-29T11:42:25.399+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  8%  332M 15s
[2024-03-29T11:42:25.480+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  8%  395M 15s
[2024-03-29T11:42:25.529+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  8%  717M 15s
[2024-03-29T11:42:25.543+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  8%  472M 15s
[2024-03-29T11:42:25.553+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  8%  586M 14s
[2024-03-29T11:42:25.557+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  8%  658M 14s
[2024-03-29T11:42:25.563+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  8% 1.21M 14s
[2024-03-29T11:42:25.572+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  8% 1.05M 15s
[2024-03-29T11:42:25.693+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  9%  746M 14s
[2024-03-29T11:42:26.051+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  9%  793M 14s
[2024-03-29T11:42:26.121+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  9%  512M 14s
[2024-03-29T11:42:26.214+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  9%  555M 14s
[2024-03-29T11:42:26.270+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  9%  777M 14s
[2024-03-29T11:42:26.368+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  9%  695M 13s
[2024-03-29T11:42:26.374+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  9%  500M 13s
[2024-03-29T11:42:26.384+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... .......... 10% 52.2M 13s
[2024-03-29T11:42:26.460+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... .......... 10%  512M 13s
[2024-03-29T11:42:26.542+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... .......... 10%  381M 13s
[2024-03-29T11:42:26.590+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... .......... 10% 5.01M 13s
[2024-03-29T11:42:26.692+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... .......... 10% 3.52M 12s
[2024-03-29T11:42:26.770+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... .......... 10% 5.75M 12s
[2024-03-29T11:42:26.840+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... .......... 10%  208M 12s
[2024-03-29T11:42:26.858+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... .......... 10% 43.5M 12s
[2024-03-29T11:42:26.865+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... .......... 11% 5.95M 12s
[2024-03-29T11:42:26.940+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... .......... 11% 5.72M 12s
[2024-03-29T11:42:27.025+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... .......... 11% 13.2M 12s
[2024-03-29T11:42:27.090+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... .......... 11% 5.64M 12s
[2024-03-29T11:42:27.136+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... .......... 11% 3.04M 12s
[2024-03-29T11:42:27.211+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... .......... 11% 2.16M 12s
[2024-03-29T11:42:27.232+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... .......... 11% 1.32M 12s
[2024-03-29T11:42:27.241+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... .......... 11%  338M 12s
[2024-03-29T11:42:27.245+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... .......... 12% 1.69M 12s
[2024-03-29T11:42:27.263+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... .......... 12% 2.62M 12s
[2024-03-29T11:42:27.264+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... .......... 12%  315M 12s
[2024-03-29T11:42:27.265+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... .......... 12%  323M 11s
[2024-03-29T11:42:27.265+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... .......... 12%  409M 11s
[2024-03-29T11:42:27.266+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... .......... 12%  323M 11s
[2024-03-29T11:42:27.267+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... .......... 12%  185M 11s
[2024-03-29T11:42:27.273+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... .......... 13%  370M 11s
[2024-03-29T11:42:27.278+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 13%  647K 11s
[2024-03-29T11:42:27.329+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 13% 6.18M 11s
