[2024-04-02T13:54:15.620+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  3% 14.0M 21s
[2024-04-02T13:54:15.625+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  3% 8.96M 21s
[2024-04-02T13:54:15.632+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  3% 7.53M 20s
[2024-04-02T13:54:15.638+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  3% 8.72M 19s
[2024-04-02T13:54:15.642+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  3% 9.73M 19s
[2024-04-02T13:54:15.647+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  3% 11.1M 18s
[2024-04-02T13:54:15.652+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  4% 14.5M 18s
[2024-04-02T13:54:15.658+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  4% 6.49M 17s
[2024-04-02T13:54:15.664+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  4% 7.96M 17s
[2024-04-02T13:54:15.666+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  4% 24.8M 16s
[2024-04-02T13:54:15.669+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  4% 13.7M 16s
[2024-04-02T13:54:15.675+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  4% 8.50M 16s
[2024-04-02T13:54:15.678+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  4% 18.8M 15s
[2024-04-02T13:54:15.680+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  4% 20.0M 15s
[2024-04-02T13:54:15.685+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  5% 13.2M 15s
[2024-04-02T13:54:15.688+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  5% 12.0M 14s
[2024-04-02T13:54:15.692+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  5% 13.2M 14s
