[2024-03-29T11:42:24.939+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  3%  601M 25s
[2024-03-29T11:42:24.946+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  3%  559M 24s
[2024-03-29T11:42:24.995+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  3%  422M 23s
[2024-03-29T11:42:25.009+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  3%  520M 23s
[2024-03-29T11:42:25.013+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  3%  575M 22s
[2024-03-29T11:42:25.015+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  3%  597M 21s
[2024-03-29T11:42:25.021+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  4%  587M 20s
[2024-03-29T11:42:25.071+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  4%  484K 22s
[2024-03-29T11:42:25.132+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  4% 1.43M 22s
[2024-03-29T11:42:25.176+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  4%  228M 21s
[2024-03-29T11:42:25.219+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  4% 2.59M 21s
[2024-03-29T11:42:25.225+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  4% 4.84M 21s
[2024-03-29T11:42:25.229+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  4% 3.53M 20s
[2024-03-29T11:42:25.248+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  4% 8.38M 20s
[2024-03-29T11:42:25.293+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  5% 7.16M 20s
[2024-03-29T11:42:25.312+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  5% 3.28M 19s
[2024-03-29T11:42:25.321+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  5% 1.80M 19s
[2024-03-29T11:42:25.340+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  5%  293M 19s
[2024-03-29T11:42:25.348+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  5% 9.47M 18s
