[2024-03-28T10:04:40.016+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  2% 15.7M 27s
[2024-03-28T10:04:40.022+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  2% 8.52M 26s
[2024-03-28T10:04:40.030+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  2% 6.17M 25s
[2024-03-28T10:04:40.034+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  2% 11.5M 24s
[2024-03-28T10:04:40.037+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  2% 16.3M 24s
[2024-03-28T10:04:40.042+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  2% 10.9M 23s
[2024-03-28T10:04:40.049+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  3% 9.05M 22s
[2024-03-28T10:04:40.053+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  3% 8.77M 22s
[2024-03-28T10:04:40.057+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  3% 11.1M 21s
[2024-03-28T10:04:40.061+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  3% 11.7M 21s
[2024-03-28T10:04:40.066+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  3% 11.6M 20s
[2024-03-28T10:04:40.069+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  3% 13.8M 20s
[2024-03-28T10:04:40.073+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  3% 11.8M 19s
[2024-03-28T10:04:40.078+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  3% 10.7M 19s
[2024-03-28T10:04:40.082+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  3% 13.4M 19s
[2024-03-28T10:04:40.088+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  3% 9.27M 18s
[2024-03-28T10:04:40.091+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  4% 21.1M 18s
[2024-03-28T10:04:40.093+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  4% 18.9M 17s
[2024-03-28T10:04:40.095+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  4% 15.9M 17s
[2024-03-28T10:04:40.101+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  4% 9.21M 17s
[2024-03-28T10:04:40.102+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  4% 34.6M 16s
[2024-03-28T10:04:40.108+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  4% 16.6M 16s
[2024-03-28T10:04:40.118+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  4% 20.1M 16s
[2024-03-28T10:04:40.118+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  4% 6.10M 16s
[2024-03-28T10:04:40.119+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  4% 16.1M 15s
[2024-03-28T10:04:40.119+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  4%  462M 15s
[2024-03-28T10:04:40.140+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  5% 6.14M 15s
[2024-03-28T10:04:40.141+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  5% 22.7M 15s
[2024-03-28T10:04:40.141+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  5% 31.8M 14s
[2024-03-28T10:04:40.142+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  5% 28.0M 14s
[2024-03-28T10:04:40.143+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  5% 50.5M 14s
[2024-03-28T10:04:40.152+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  5% 27.4M 14s
