[2024-03-29T11:42:24.270+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  3%  529M 28s
[2024-03-29T11:42:24.281+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  3%  506M 27s
[2024-03-29T11:42:24.317+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  3%  541M 26s
[2024-03-29T11:42:24.352+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  3%  498M 25s
[2024-03-29T11:42:24.371+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  3%  459M 24s
[2024-03-29T11:42:24.377+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  3%  522M 23s
[2024-03-29T11:42:24.408+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  4%  588M 22s
[2024-03-29T11:42:24.410+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  4%  462M 22s
[2024-03-29T11:42:24.415+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  4%  494K 23s
[2024-03-29T11:42:24.416+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  4%  486M 22s
[2024-03-29T11:42:24.426+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  4%  544M 22s
[2024-03-29T11:42:24.495+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  4%  522M 21s
[2024-03-29T11:42:24.607+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  4%  574M 21s
[2024-03-29T11:42:24.627+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  4%  593M 20s
[2024-03-29T11:42:24.709+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  5%  214M 19s
[2024-03-29T11:42:24.797+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  5%  440M 19s
[2024-03-29T11:42:24.825+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  5%  546M 18s
[2024-03-29T11:42:24.879+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  5%  572M 18s
[2024-03-29T11:42:24.950+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  5%  572M 18s
[2024-03-29T11:42:24.974+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  5%  590M 17s
[2024-03-29T11:42:24.993+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  5%  571M 17s
[2024-03-29T11:42:25.002+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  5%  599M 16s
[2024-03-29T11:42:25.004+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  6% 2.31M 16s
[2024-03-29T11:42:25.010+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  6%  808K 17s
[2024-03-29T11:42:25.014+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  6% 1.15M 17s
[2024-03-29T11:42:25.016+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  6%  102M 17s
