[2024-03-26T08:25:16.375+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  2% 6.06M 27s
[2024-03-26T08:25:16.381+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  2% 8.00M 26s
[2024-03-26T08:25:16.385+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  2% 13.7M 25s
[2024-03-26T08:25:16.389+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  2% 10.8M 25s
[2024-03-26T08:25:16.397+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  2% 6.13M 24s
[2024-03-26T08:25:16.398+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  2% 27.7M 23s
[2024-03-26T08:25:16.406+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  3% 12.3M 23s
[2024-03-26T08:25:16.410+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  3% 6.74M 22s
[2024-03-26T08:25:16.415+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  3% 9.17M 22s
[2024-03-26T08:25:16.417+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  3% 21.4M 21s
[2024-03-26T08:25:16.421+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  3% 12.1M 20s
[2024-03-26T08:25:16.427+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  3% 8.93M 20s
[2024-03-26T08:25:16.430+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  3% 13.5M 20s
[2024-03-26T08:25:16.435+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  3% 9.53M 19s
[2024-03-26T08:25:16.438+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  3% 17.9M 19s
[2024-03-26T08:25:16.443+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  3% 10.3M 18s
[2024-03-26T08:25:16.445+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  4% 72.9M 18s
[2024-03-26T08:25:16.450+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  4% 7.83M 18s
[2024-03-26T08:25:16.456+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  4% 8.59M 17s
