[2024-03-28T16:45:24.413+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  3% 8.63M 20s
[2024-03-28T16:45:24.424+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  3% 4.27M 20s
[2024-03-28T16:45:24.426+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  3% 21.3M 19s
[2024-03-28T16:45:24.430+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  3% 13.3M 19s
[2024-03-28T16:45:24.445+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  3% 3.18M 18s
[2024-03-28T16:45:24.449+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  3% 12.1M 18s
[2024-03-28T16:45:24.453+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  4% 35.5M 17s
[2024-03-28T16:45:24.459+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  4% 37.2M 17s
[2024-03-28T16:45:24.465+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  4% 6.66M 16s
[2024-03-28T16:45:24.467+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  4% 23.3M 16s
[2024-03-28T16:45:24.476+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  4% 3.50M 16s
[2024-03-28T16:45:24.493+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  4% 37.5M 15s
[2024-03-28T16:45:24.509+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  4%  347M 15s
[2024-03-28T16:45:24.512+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  4%  252M 14s
[2024-03-28T16:45:24.514+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  5% 7.66M 14s
[2024-03-28T16:45:24.517+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  5% 6.73M 14s
[2024-03-28T16:45:24.531+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  5% 19.5M 14s
[2024-03-28T16:45:24.541+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  5% 10.2M 13s
[2024-03-28T16:45:24.552+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  5% 5.93M 13s
[2024-03-28T16:45:24.556+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  5% 21.4M 13s
[2024-03-28T16:45:24.585+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  5% 16.0M 13s
[2024-03-28T16:45:24.589+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  5%  435M 12s
[2024-03-28T16:45:24.605+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  6%  425M 12s
[2024-03-28T16:45:24.617+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  6% 11.4M 12s
[2024-03-28T16:45:24.628+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  6% 19.0M 12s
[2024-03-28T16:45:24.631+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  6% 13.3M 11s
[2024-03-28T16:45:24.635+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  6% 7.13M 11s
[2024-03-28T16:45:24.638+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  6% 87.4M 11s
[2024-03-28T16:45:24.640+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  6% 7.72M 11s
[2024-03-28T16:45:24.640+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  7% 6.90M 11s
[2024-03-28T16:45:24.643+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  7%  108M 11s
[2024-03-28T16:45:24.644+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  7%  390M 10s
[2024-03-28T16:45:24.650+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  7% 10.2M 10s
[2024-03-28T16:45:24.651+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  7%  261M 10s
[2024-03-28T16:45:24.653+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  7% 13.1M 10s
[2024-03-28T16:45:24.654+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  7% 7.58M 10s
[2024-03-28T16:45:24.655+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  7% 21.4M 10s
[2024-03-28T16:45:24.655+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  8% 3.46M 10s
[2024-03-28T16:45:24.656+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  8%  400M 10s
[2024-03-28T16:45:24.657+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  8%  420M 9s
[2024-03-28T16:45:24.657+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  8%  279M 9s
[2024-03-28T16:45:24.658+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  8%  565M 9s
[2024-03-28T16:45:24.658+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  8% 15.5M 9s
[2024-03-28T16:45:24.658+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  8% 5.09M 9s
[2024-03-28T16:45:24.659+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  8%  312M 9s
[2024-03-28T16:45:24.659+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  9% 39.4M 9s
[2024-03-28T16:45:24.659+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  9% 5.03M 9s
[2024-03-28T16:45:24.660+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  9% 13.6M 9s
[2024-03-28T16:45:24.660+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  9% 10.7M 8s
[2024-03-28T16:45:24.660+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  9%  459M 8s
[2024-03-28T16:45:24.661+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  9% 13.6M 8s
[2024-03-28T16:45:24.661+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  9% 9.22M 8s
[2024-03-28T16:45:24.662+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... .......... 10% 9.05M 8s
[2024-03-28T16:45:24.662+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... .......... 10% 12.2M 8s
[2024-03-28T16:45:24.663+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... .......... 10% 8.99M 8s
[2024-03-28T16:45:24.664+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... .......... 10% 6.71M 8s
[2024-03-28T16:45:24.664+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... .......... 10% 31.2M 8s
[2024-03-28T16:45:24.664+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... .......... 10% 87.2M 8s
[2024-03-28T16:45:24.665+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... .......... 10%  241M 8s
[2024-03-28T16:45:24.710+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... .......... 10%  190M 7s
[2024-03-28T16:45:24.741+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... .......... 11%  399M 7s
[2024-03-28T16:45:24.776+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... .......... 11%  273M 7s
[2024-03-28T16:45:24.819+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... .......... 11%  209M 7s
[2024-03-28T16:45:24.833+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... .......... 11%  217M 7s
[2024-03-28T16:45:24.834+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... .......... 11%  221M 7s
[2024-03-28T16:45:24.837+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... .......... 11%  225M 7s
[2024-03-28T16:45:24.840+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... .......... 11%  299M 7s
[2024-03-28T16:45:24.846+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... .......... 11%  280M 7s
[2024-03-28T16:45:24.849+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... .......... 12% 5.82M 7s
[2024-03-28T16:45:24.852+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... .......... 12%  266M 7s
[2024-03-28T16:45:24.854+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... .......... 12% 47.2M 7s
[2024-03-28T16:45:24.856+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... .......... 12% 43.1M 7s
